#    ================
# 目录
# 二字
# 三字
# 四字
# 四字以上
#    ================
# 二字
woug=0,我省
viui=0,只是

# 小鹤四字
abvg=0,阿保之功
abvl=0,阿保之劳
abjh=0,阿鼻叫唤
agam=0,阿狗阿猫
agaw=0,阿姑阿翁
ajjw=0,阿娇金屋
aqr=0,阿匼取容
alzs=0,阿郎杂碎
andz=0,阿娜多姿
anwm=0,阿娜妩媚
apdy=0,阿毗地狱
apjd=0,阿平绝倒
auxs=0,阿世徇俗
auqr=0,阿顺取容
assh=0,阿私所好
asxb=0,阿私下比
awwv=0,阿魏无真
aygh=0,阿意苟合
avuq=0,阿旨顺情
aafm=0,哀哀父母
aaqq=0,挨挨抢抢
aayj=0,哀哀欲绝
aazz=0,挨挨拶拶
abru=0,爱不忍释
aclr=0,爱才怜弱
acrk=0,爱才如渴
adum=0,挨打受骂
aduq=0,挨打受气
aeud=0,挨饿受冻
afur=0,艾发衰容
afqd=0,爱非其道
afjf=0,挨风缉缝
afxp=0,爱富嫌贫
agtd=0,哀感天地
agwy=0,哀感顽艳
agvn=0,哀感中年
agbf=0,哀告宾服
agrj=0,爱国如家
ahuv=0,爱鹤失众
ahyy=0,爱河永浴
ahbd=0,哀鸿遍地
ahml=0,哀鸿满路
ahgl=0,哀毁骨立
ahjl=0,哀毁瘠立
ajah=0,挨家按户
ajbz=0,挨肩并足
ajcb=0,挨肩擦膀
ajcb=0,捱肩擦背
ajcl=0,挨肩擦脸
ajdb=0,挨肩搭背
ajdb=0,挨肩叠背
ajdz=0,挨肩叠足
ajii=0,哀矜惩创
ajwx=0,哀矜勿喜
akux=0,爱口识羞
akux=0,碍口识羞
alcy=0,爱老慈幼
albj=0,哀梨并剪
alcy=0,爱礼存羊
alvu=0,哀梨蒸食
amfq=0,爱毛反裘
ambm=0,暧昧不明
amvq=0,暧昧之情
amvu=0,暧昧之事
amah=0,挨门挨户
amxw=0,爱民恤物
amwv=0,爱莫为助
amvv=0,爱莫之助
amvv=0,爱莫助之
ancm=0,碍难从命
anzm=0,碍难遵命
aqvq=0,哀戚之情
aqqw=0,矮墙浅屋
aqhm=0,爱妾换马
aqzq=0,爱亲做亲
aqdq=0,哀穷悼屈
arkq=0,蔼然可亲
arrv=0,蔼然仁者
argi=0,矮人观场
arhu=0,爱人好士
arki=0,矮人看场
arkx=0,矮人看戏
arlw=0,爱人利物
aryd=0,爱人以德
arxl=0,爱日惜力
aryi=0,爱如已出
arvb=0,爱如珍宝
asds=0,捱三顶四
asdw=0,挨三顶五
asdw=0,捱三顶五
aush=0,挨山塞海
aues=0,爱生恶死
ashr=0,哀丝豪肉
ashv=0,哀丝豪竹
asqf=0,挨丝切缝
asri=0,哀思如潮
asuu=0,哀死事生
ashg=0,爱素好古
atjd=0,哀天叫地
atwy=0,哀恸顽艳
awjw=0,爱屋及屋
awrm=0,爱物仁民
axjb=0,哀喜交并
axnj=0,爱贤念旧
axjh=0,矮小精悍
ayej=0,爱远恶近
alxu=0,哀乐相生
alvj=0,哀乐中节
azwi=0,爱憎无常
avrb=0,爱者如宝
avrb=0,爱之如宝
avxg=0,爱之炫光
azgi=0,矮子观场
azkx=0,矮子看戏
azau=0,碍足碍手
abvg=0,安邦治国
abbj=0,按兵不举
abfu=0,暗冰反射
abuj=0,按兵束甲
abuj=0,案兵束甲
abwd=0,案兵无动
abjd=0,按部就队
abww=0,安不忘危
abwy=0,安不忘虞
aimf=0,暗察明访
aiiu=0,安常处顺
ailu=0,安常履顺
aiuf=0,安常守分
aiug=0,安常守故
aixg=0,安常习故
aiha=0,暗潮湖岸
aiyd=0,暗潮营地
aipl=0,安车蒲轮
airl=0,安车软轮
aidr=0,暗锤打人
adhx=0,暗淡幻象
adwg=0,黯淡无光
admv=0,暗斗明争
adic=0,暗度陈仓
adjv=0,暗度金针
adlx=0,案牍劳形
adly=0,安堵乐业
adri=0,安堵如常
adrg=0,安堵如故
advl=0,案牍之劳
afjy=0,安分洁已
aful=0,安分守理
afum=0,安分守命
afuy=0,安分守已
afuv=0,安分守拙
afsu=0,安分随时
afxl=0,安分循理
afvz=0,安分知足
afxp=0,安富恤贫
afxq=0,安富恤穷
afvv=0,暗缚之指
afzr=0,安富尊荣
agfd=0,暗钢飞刀
agvb=0,岸谷之变
agiq=0,安故重迁
